2026-08-14 00:02:36,FALLSEYY/EVE,MASTER I 36,2836,229,220
2026-08-14 00:02:36,awesomeguytx/NA1,DIAMOND I 53,2753,165,150
2026-08-14 00:02:36,bitsofcool/yuumi,PLATINUM III 90,1790,93,90
2026-08-14 00:02:36,bloob aery/yummy,DIAMOND I 27,2727,527,521
2026-08-14 00:02:36,Bones/casts,DIAMOND II 14,2614,173,194
2026-08-14 00:02:36,cheezepuffs/NA1,EMERALD I 9,2309,98,85
2026-08-14 00:02:36,Denouth/GAPED,DIAMOND IV 72,2472,312,301
2026-08-14 00:02:36,Doomblade/JORT,GOLD IV 0,1200,99,105
2026-08-14 00:02:36,eiplA/NA1,EMERALD IV 63,2063,75,65
2026-08-14 00:02:36,Eyren/Eyren,EMERALD IV 59,2059,30,15
2026-08-14 00:02:36,Flipflops/7777,SILVER II 80,1080,9,9
2026-08-14 00:02:36,goat/benz,EMERALD I 55,2355,28,32
2026-08-14 00:02:36,Im so Green/Green,PLATINUM IV 86,1686,17,17
2026-08-14 00:02:36,JoeyJoJoJoey/Joey,DIAMOND I 75,2775,285,248
2026-08-14 00:02:36,jxu/333,MASTER I 203,3003,284,255
2026-08-14 00:02:36,Kaiscar/sadge,MASTER I 421,3221,70,57
2026-08-14 00:02:36,karu/NA01,PLATINUM IV 97,1697,313,314
2026-08-14 00:02:36,kdc/hxh,DIAMOND IV 4,2404,122,109
2026-08-14 00:02:36,LegAcyCoolBro/1021,EMERALD IV 97,2097,203,208
2026-08-14 00:02:36,Limitless/zaza,MASTER I 953,3753,210,190
2026-08-14 00:02:36,monke123/deez,PLATINUM I 43,1943,239,250
2026-08-14 00:02:36,Ngu/yen,DIAMOND III 18,2518,43,32
2026-08-14 00:02:36,OTP Shen/TTV,DIAMOND IV 34,2434,472,487
2026-08-14 00:02:36,Pixyy/UwU,PLATINUM III 13,1713,50,47
2026-08-14 00:02:36,Pongu/CHUD,EMERALD II 83,2283,255,249
2026-08-14 00:02:36,Projecki/NA1,GRANDMASTER I 1251,4051,393,347
2026-08-14 00:02:36,qiiqo/seir,PLATINUM III 83,1783,55,40
2026-08-14 00:02:36,Raiden/Akane,BRONZE II 72,672,18,23
2026-08-14 00:02:36,RellzOxo/Rellz,GOLD II 90,1490,246,261
2026-08-14 00:02:36,shanque/ysy,DIAMOND III 93,2593,50,48
2026-08-14 00:02:36,SkyCerberus/Azure,GOLD I 10,1510,2,3
2026-08-14 00:02:36,So Hard For T1 /SoHot,PLATINUM II 18,1818,144,145
2026-08-14 00:02:36,SpeedyNS Zoe/Gwen,EMERALD II 52,2252,43,34
2026-08-14 00:02:36,Starlit Hearts/Stars,EMERALD IV 0,2000,133,118
2026-08-14 00:02:36,Sweettart/NBH1,GOLD III 91,1391,33,33
2026-08-14 00:02:36,AhriFeetGunk/Licks,GOLD I 12,1512,58,60
2026-08-14 00:02:36,Vaal/Vaal,DIAMOND III 63,2563,65,61
2026-08-14 00:02:36,Yoshi/4484,PLATINUM IV 94,1694,78,89
2026-08-14 00:02:36,Yukina/3995,SILVER II 11,1011,75,66
2026-08-14 00:02:36,Zacian/fox,MASTER I 164,2964,137,98
2026-08-14 00:14:50,祥子さん/4677,PLATINUM II 5,1805,130,134
2026-08-14 00:32:25,Smoke Criminal/NA2,MASTER I 915,3715,146,125
2026-08-14 01:02:58,binky/5ft8,EMERALD IV 56,2056,148,145
2026-08-14 01:33:56,NewJungler21/eh112,EMERALD IV 28,2028,577,571
2026-08-14 02:50:43,death/ntnt,EMERALD II 13,2213,190,185
2026-08-15 00:03:18,Voltt/1103,DIAMOND II 15,2615,325,309
2026-08-15 02:34:07,onetrickponyshen/ttv,EMERALD II 26,2400,170,187
2026-08-23 22:44:27,shaju/meow,EMERALD IV 54,2054,293,282
2026-08-15 14:45:44,Helperz/NA1,GRANDMASTER I 1191,3991,230,176
2026-08-16 01:33:14,stupid cheesecat/emma,EMERALD II 60,2260,174,176
2026-08-24 14:21:16,Jeydin21/2025,SILVER III 67,967,204,219
2026-08-24 14:21:44,CarlosCrunch/SNACC,DIAMOND I 39,2739,122,136
2026-08-25 13:46:48,Jospinz/NA1,EMERALD II 55,2255,3,2
2026-08-27 21:25:18,oak/478,EMERALD III 1,2101,355,361
2026-08-27 21:25:18,ttv hayydennee/TWICE,GOLD I 25,1525,18,10
2026-08-28 14:35:51,MePanda/Panda,EMERALD I 80,2380,272,249
2026-08-30 17:14:32,MARTY SUPREME/3STAR,EMERALD III 87,2187,20,10
2026-08-31 17:53:15,ohareshairs/swain,DIAMOND III 59,2559,228,250
